epoch,train_loss,val_cer,val_wer,lr
1,5.507545161599596,1.0,1.0,0.000299794430213186
2,4.546941346605423,1.0,1.0,0.00029917828430524096
3,4.515441395613948,1.0,1.0,0.00029815325108927063
4,4.483668840812345,1.0,1.0,0.0002967221401100708
5,4.445713811320037,1.0,1.0,0.0002948888739433602
6,4.404403700147356,1.0,1.0,0.00029265847744427303
7,4.371988539390376,1.0,1.0,0.00029003706397458023
8,4.341021824352847,1.0,1.0,0.0002870318186463901
9,4.3150778751655166,0.9352047802813395,1.0,0.00028365097862825513
10,4.29767644017788,0.9490850242748662,1.0,0.0002799038105676658
11,4.2767175340887364,0.9022781028258434,1.0,0.00027580058519181355
12,4.258789053104194,0.9188970496701108,1.0,0.00027135254915624206
13,4.235095189475073,0.8981700485497324,1.0,0.00026657189421854557
14,4.20050102947968,0.8977343458234781,1.0,0.0002614717238216091
15,4.171903317080343,0.900908751400473,0.9984332158245202,0.00025606601717798207
16,4.132178875025858,0.8906386157101954,0.9980415197806503,0.0002503695909538287
17,4.086595881983564,0.8907631022034109,0.9972581276929103,0.0002443980586574756
18,4.0287627962422485,0.8681688036848002,0.9972581276929103,0.0002381677878438709
19,3.9401615513956605,0.8357400722021661,0.9968664316490403,0.000231695855252254
20,3.834877533748232,0.8099713681065605,0.9749314531923228,0.0002249999999999999
21,3.7277447864927096,0.6595294410556455,0.9620054837446141,0.00021809857496093193
22,3.600822538695312,0.6655047927299887,0.9584802193497846,0.00021101049646136998
23,3.4999354432956338,0.5385285696501929,0.9314531923227576,0.00020375519243179502
24,3.383111979104028,0.4436698618199925,0.9087348217783,0.00019635254915624205
25,3.2846458094460624,0.4371343209261795,0.9142185663924794,0.00018882285676537805
26,3.1983616349732347,0.41871031993028757,0.8464551508029768,0.00018118675362266382
27,3.089490402155909,0.403834183991037,0.8292205248726988,0.0001734651697560346
28,3.0059018839756257,0.4080667247603635,0.8284371327849589,0.00016567926949014798
29,2.895574899025151,0.3824225071579734,0.8076772424598512,0.0001578503934364415
30,2.7931804570071215,0.38397858832316695,0.8233450842146495,0.00015
31,2.681573034389853,0.3680443171915847,0.8068938503721113,0.0001421496065635584
32,2.562327905711282,0.41335740072202165,0.8209949079514297,0.00013432073050985197
33,2.4483933993748255,0.3722146147143035,0.8100274187230709,0.00012653483024396533
34,2.3213979822074253,0.41161458981700483,0.8155111633372503,0.00011881324637733606
35,2.183249072135963,0.4102452383916345,0.8213866039952996,0.00011117714323462187
36,2.049281942198429,0.4235652931656915,0.8488053270661966,0.00010364745084375787
37,1.9114816192335684,0.43389767210257685,0.863689776733255,9.624480756820493e-05
38,1.7909706381154178,0.421511266027636,0.8531139835487661,8.898950353862997e-05
39,1.6640844800789367,0.48356778289555585,0.899725812769291,8.190142503906796e-05
40,1.5485762916762253,0.4482136188223578,0.890325107716412,7.500000000000001e-05
41,1.4389085076712622,0.4607245113905141,0.8777908343125734,6.830414474774596e-05
42,1.340384452683585,0.45555832192207146,0.8738738738738738,6.183221215612902e-05
43,1.2512427920778397,0.46713556579111165,0.9016842929886408,5.560194134252439e-05
